CPF,Tipo de Financiamento,Valor Financiado,Número de Parcelas,Valor da Parcela,Taxa de Juros (%),Tem Seguro?,Instituição Financeira,Data de Início,Data de Término,Número de Parcelas Pagas,Número de Parcelas em Atraso,Tem Reajuste Anual?,Valor da Entrada
205.934.781-50,Veículo,381172,121,3150.181818181818,7.13,Não,Nunes,13/07/2022,21/06/2036,20,9,Sim,83534
260.985.317-30,Veículo,269911,338,798.5532544378698,5.15,Sim,Carvalho - EI,07/11/2023,10/09/2025,60,7,Sim,85921
703.586.129-77,Veículo,266253,45,5916.733333333334,7.1,Sim,Moreira,30/04/2021,24/02/2039,14,9,Não,64137
815.207.349-05,Imóvel,940735,217,4335.184331797235,2.52,Sim,Silva,08/11/2022,14/11/2032,143,8,Não,94995
402.936.857-38,Veículo,480224,152,3159.368421052632,7.32,Não,Gonçalves Ltda.,10/02/2023,14/12/2034,36,5,Sim,85518
507.916.824-20,Imóvel,648182,27,24006.74074074074,2.4,Sim,Lopes,15/09/2024,17/07/2054,25,7,Sim,83601
702.356.849-29,Imóvel,669248,270,2478.696296296296,4.11,Sim,Cavalcanti Ltda.,22/12/2024,25/01/2054,83,10,Não,48093
135.496.708-93,Veículo,103584,336,308.2857142857143,9.39,Não,Abreu,05/10/2024,04/05/2040,7,1,Sim,50675
617.235.089-77,Veículo,240854,313,769.5015974440895,5.91,Sim,Cavalcanti,10/01/2022,18/01/2050,125,9,Sim,92092
493.621.580-51,Imóvel,607374,106,5729.943396226415,2.9,Sim,Rios S/A,10/12/2022,21/03/2037,83,1,Sim,76634
042.795.138-05,Veículo,235771,179,1317.1564245810057,9.68,Não,Araújo,01/07/2022,02/05/2040,102,11,Sim,67514
796.540.238-65,Imóvel,569619,201,2833.9253731343283,1.17,Sim,Rezende,06/02/2025,04/01/2032,75,2,Sim,91081
483.706.219-96,Veículo,412703,310,1331.3,6.89,Sim,Pinto,23/11/2022,27/08/2026,43,3,Não,27812
785.906.142-20,Imóvel,900804,229,3933.64192139738,1.74,Sim,Nascimento,05/09/2023,20/02/2051,51,4,Sim,41492
719.605.428-85,Veículo,261672,44,5947.090909090909,8.2,Não,Ribeiro,23/11/2021,14/08/2041,5,3,Não,97439
758.493.120-05,Imóvel,843358,150,5622.386666666666,2.75,Sim,Melo,30/10/2020,26/06/2053,108,2,Não,33010
974.856.213-19,Imóvel,549739,309,1779.0906148867314,3.16,Sim,Novais Nunes e Filhos,19/04/2025,17/03/2027,88,0,Não,90620
672.480.315-26,Veículo,487858,217,2248.1935483870966,9.78,Não,Siqueira,23/07/2024,06/08/2054,149,9,Sim,49681
193.648.520-60,Imóvel,992816,140,7091.542857142857,2.67,Sim,Albuquerque,29/06/2023,15/02/2040,78,5,Sim,75106
932.517.864-82,Veículo,217442,150,1449.6133333333332,5.5,Sim,Rezende - ME,27/02/2023,08/11/2049,59,6,Sim,48372
315.729.084-32,Veículo,181584,211,860.5876777251185,6.86,Não,da Luz Guerra Ltda.,22/09/2020,05/05/2044,33,8,Não,47317
702.514.398-79,Veículo,130869,62,2110.7903225806454,7.27,Sim,Siqueira e Filhos,09/11/2021,13/06/2033,5,11,Não,28231
817.395.046-66,Imóvel,860972,294,2928.4761904761904,1.6,Sim,da Rosa S/A,07/09/2020,09/06/2045,228,3,Sim,54762
203.547.916-99,Imóvel,571738,96,5955.604166666667,2.11,Sim,Farias Ribeiro - ME,20/10/2022,14/11/2028,65,3,Não,73645
315.904.876-48,Veículo,187559,263,713.1520912547528,5.06,Não,Abreu - EI,21/06/2021,27/11/2044,31,9,Sim,99495
951.346.208-06,Veículo,433768,140,3098.342857142857,6.74,Não,Rodrigues Sá - EI,26/05/2025,22/04/2034,97,4,Não,77418
391.674.820-31,Imóvel,858720,237,3623.291139240506,3.02,Sim,Aparecida,04/09/2021,07/03/2055,212,2,Não,95559
463.172.908-22,Imóvel,799232,197,4057.015228426396,4.98,Sim,Fernandes,05/07/2022,01/04/2046,119,5,Sim,35447
205.693.817-03,Veículo,235736,252,935.4603174603176,6.25,Não,Sousa,04/04/2022,01/09/2031,91,11,Não,77382
790.461.325-52,Imóvel,877579,16,54848.6875,2.89,Sim,Martins Aragão S.A.,10/07/2023,10/09/2041,16,11,Sim,93890
628.015.479-30,Imóvel,606490,13,46653.07692307692,1.94,Sim,Correia Rodrigues S.A.,24/07/2023,15/04/2049,10,1,Sim,93415
732.058.961-30,Imóvel,946484,116,8159.3448275862065,3.19,Sim,Sales S/A,15/03/2024,16/07/2046,81,8,Não,77272
073.826.941-78,Veículo,460018,48,9583.708333333334,6.46,Sim,Macedo - ME,26/06/2022,19/05/2036,10,9,Sim,91142
526.370.184-53,Veículo,441331,18,24518.38888888889,8.63,Sim,Vargas Porto e Filhos,22/05/2022,11/08/2052,14,8,Sim,17160
948.765.120-94,Imóvel,987288,190,5196.252631578947,2.39,Sim,Leão Aparecida - EI,18/11/2020,29/05/2051,185,1,Não,24126
870.941.352-97,Veículo,70760,199,355.5778894472362,8.83,Sim,Pimenta Nascimento e Filhos,26/07/2020,05/01/2042,145,12,Sim,85487
107.632.495-99,Imóvel,787168,306,2572.4444444444443,1.19,Sim,Sampaio,16/10/2021,08/01/2046,98,0,Sim,75246
403.586.712-80,Veículo,422922,178,2375.9662921348317,9.66,Sim,Alves das Neves e Filhos,15/04/2024,05/04/2032,5,5,Sim,94276
483.026.791-78,Veículo,482745,33,14628.636363636364,9.25,Não,Vargas,30/05/2023,16/01/2043,11,10,Sim,98736
694.538.017-39,Veículo,352499,48,7343.729166666667,5.91,Sim,Macedo,10/11/2021,24/10/2043,39,2,Não,41177
890.372.461-50,Veículo,175168,114,1536.561403508772,8.94,Sim,Costela,17/04/2021,14/12/2047,44,8,Não,85292
970.431.526-07,Imóvel,518099,61,8493.426229508197,2.26,Sim,da Conceição da Cruz Ltda.,16/08/2023,01/11/2026,47,9,Não,60105
412.579.608-49,Imóvel,786818,264,2980.371212121212,2.74,Sim,Abreu Siqueira S/A,25/04/2025,13/04/2033,177,4,Não,60785
416.528.730-07,Veículo,303454,164,1850.3292682926829,9.47,Sim,Nogueira,04/11/2022,31/08/2039,123,9,Sim,50062
241.987.605-94,Veículo,468260,253,1850.830039525692,5.9,Não,Barbosa,15/05/2023,08/11/2027,201,6,Sim,40690
621.583.097-68,Veículo,471984,255,1850.917647058824,6.8,Não,Fogaça e Filhos,18/04/2025,15/02/2035,126,0,Sim,36094
