CPF	Tipo de Seguro	Seguradora	Valor da Cobertura	Número de Sinistros	Valor do Prêmio Mensal
031.569.284-70	Residencial	Freitas	305670	4	1065
628.419.503-60	Automóvel	Gonçalves	408715	5	1117
982.603.475-47	Vida	Guerra	538733	5	1209
089.673.541-93	Automóvel	Cunha	390833	2	690
014.923.567-43	Automóvel	Almeida e Filhos	413828	4	551
056.879.213-03	Vida	Mendonça da Rocha e Filhos	868255	4	795
216.057.839-86	Automóvel	Câmara Freitas - ME	279137	2	380
120.495.783-50	Residencial	Camargo	284831	3	542
423.051.968-06	Automóvel	da Paz	325779	2	678
168.740.239-69	Residencial	Novais	63548	4	1070
823.765.149-91	Residencial	da Rocha Caldeira Ltda.	120205	0	865
048.153.269-24	Vida	Albuquerque Ltda.	766751	3	585
504.237.916-99	Vida	Lima	533341	3	586
430.817.526-71	Vida	Lima Monteiro - EI	983764	1	685
057.428.961-58	Vida	Pacheco	604861	0	887
476.125.098-49	Vida	Rodrigues	529451	3	780
905.472.183-97	Vida	Cassiano	996527	0	364
763.429.501-99	Vida	Pereira Azevedo e Filhos	998283	1	351
501.268.943-70	Automóvel	Macedo	281964	5	759
032.845.976-38	Residencial	Pastor	73079	5	859
786.059.234-74	Residencial	Ribeiro	396887	4	797
153.489.620-15	Vida	Macedo	598877	3	1087
493.086.715-01	Automóvel	Freitas e Filhos	122532	1	1023
432.196.850-05	Vida	da Mota S/A	989696	5	1048
543.617.920-70	Automóvel	Câmara Moraes Ltda.	194014	3	1298
527.609.384-92	Automóvel	Novais	77061	1	599
809.735.146-39	Residencial	Rodrigues	479580	1	783
571.823.904-50	Residencial	Sá	288253	0	474
294.061.385-06	Residencial	Fogaça Pires S/A	63819	3	838
628.514.973-91	Residencial	Novaes	330636	1	422
480.351.976-57	Residencial	Brito e Filhos	449398	2	570
374.182.059-88	Automóvel	Casa Grande	417141	5	1258
341.058.627-07	Vida	Alves	778107	2	850
158.736.490-57	Automóvel	Pires Farias S.A.	422660	4	1314
160.937.854-75	Residencial	Campos	88971	5	1070
145.637.920-80	Automóvel	Ferreira	207318	2	638
108.697.345-39	Vida	Sá Ramos Ltda.	733056	1	451
214.387.096-50	Automóvel	Nogueira	333030	2	972
245.701.893-50	Automóvel	Brito	330969	4	1321
261.795.384-09	Automóvel	Teixeira	310114	5	1033
791.426.083-50	Vida	da Rosa Ltda.	775856	3	872
123.047.856-62	Vida	Alves Castro S.A.	650746	2	808
412.397.605-07	Vida	Pimenta Oliveira - EI	658236	4	1229
085.143.726-53	Automóvel	da Mota Pacheco - EI	404066	4	1349
581.206.473-35	Residencial	Cavalcante Rodrigues S.A.	60054	5	1063
483.257.106-08	Residencial	da Luz Viana e Filhos	270213	0	556
537.942.186-55	Vida	Azevedo	987268	3	1217
810.329.567-12	Automóvel	Freitas	416234	5	857
037.924.856-56	Vida	Nunes	640536	5	646
960.251.847-20	Automóvel	Marques	58744	4	1149
763.801.942-31	Residencial	Nogueira Sá e Filhos	402371	0	474
153.472.980-14	Vida	da Rocha	893433	4	1050
918.467.503-93	Residencial	Almeida	317729	1	276
659.780.413-93	Automóvel	Machado	185541	0	646
930.425.786-74	Residencial	da Mota	379631	0	753
961.257.834-64	Automóvel	Nogueira Ltda.	235769	3	770
159.638.047-01	Automóvel	Siqueira - ME	134940	5	1479
342.856.970-92	Automóvel	Farias S/A	184514	5	815
682.910.735-03	Vida	da Rosa Alves e Filhos	758038	0	728
854.213.796-55	Residencial	Freitas Borges - ME	279506	1	629
735.684.921-64	Automóvel	Peixoto Marques - ME	213098	4	756
263.481.907-22	Automóvel	Aparecida	120241	0	282
147.253.986-91	Vida	Sousa	636785	1	614
259.307.168-03	Residencial	Cirino	340758	0	248
250.176.843-44	Vida	Costa da Rosa S/A	944315	0	342
594.612.708-01	Vida	Nunes e Filhos	664604	2	841
562.987.314-82	Vida	Pires	965701	4	1058
703.268.419-03	Residencial	Farias Jesus - EI	441837	2	1145
714.528.690-49	Residencial	da Cruz S/A	387448	1	619
391.502.847-97	Automóvel	Rocha Cirino - EI	147987	1	982
519.347.260-52	Automóvel	da Mata - ME	223990	4	1341
150.863.274-07	Automóvel	Cunha	324510	1	367
028.413.795-23	Automóvel	Leão	360380	2	1114
082.531.674-07	Vida	Silveira	745640	4	1348
890.521.736-21	Vida	Câmara e Filhos	789582	2	1161
075.361.824-90	Vida	Araújo	520626	3	890
079.648.512-76	Residencial	da Rocha e Filhos	330672	1	624
150.847.296-30	Automóvel	Silva	414082	1	775
493.625.071-61	Vida	da Paz	816100	3	1245
705.948.316-01	Automóvel	Pires	307391	1	390
732.518.096-95	Automóvel	Rezende Fernandes e Filhos	204400	4	646
628.540.197-76	Vida	Almeida Almeida S/A	824254	2	785
692.031.847-40	Automóvel	Freitas Marques Ltda.	493877	5	682
045.297.836-00	Vida	da Luz Cassiano S.A.	764958	3	712
645.389.021-60	Residencial	Fernandes	196088	2	449
419.576.320-70	Vida	Gomes	859408	1	878
263.584.910-24	Automóvel	Cardoso - ME	425535	3	647
124.638.095-15	Residencial	Duarte S.A.	419971	3	747
396.821.754-37	Automóvel	Sá	256811	3	563
412.365.708-71	Vida	Montenegro	643050	2	442
025.398.647-83	Residencial	Ferreira	192918	3	580
958.317.046-10	Vida	Sousa e Filhos	642974	1	425
698.437.025-65	Residencial	Santos S/A	135304	4	1003
